Snapshot_Date,Report_Month,Subject_Community_ID,Source_Property_Name,Is_Subject_Property,Distance,Year_Built,Total_Units,Exposure_Pct,Leased_Pct,Preleased_Pct,Applications_Last_7_Days,Applications_Last_30_Days,Concessions,Concession_Pct,Total_Available_Units,Total_Leased_Units,Vacant_Units,Asking_Rent,Asking_Rent_PSF,Effective_Rent,Effective_Rent_PSF,Avg_SqFt,Source_File_Name
2026-04-30,2026-04-01,BAY,Woodside at Seven Pines,No,4.67628249598,2024,300,0.03,0.963333333333,0.97,13,41,2260.55555556,0.0833128532809,9,1,16,2260.55555556,2.06213257653,2072.22222222,1.89033042773,1096.22222222,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,JTB Apartments,No,1.88197156228,2019,350,0.308571428571,0.837142857143,0.691428571429,3,23,666.87962963,0.0262800637623,108,0,53,2154.22641509,2.2408588644,2097.61320755,2.18196895056,957.638888889,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Pinnacle,No,4.55542627438,2024,376,0.031914893617,0.946808510638,0.968085106383,13,42,2167.91666667,0.0853427895981,12,2,25,2115,1.60318362706,1934.5,1.46636346409,1319.25,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Fusion,No,1.09329396351,2020,384,0.0338541666667,0.966145833333,0.966145833333,10,38,832.384615385,0.037119433115,13,0,16,2022.75,1.67967614698,1947.66666667,1.61732752059,1204.25,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Avere Southside Quarter,No,4.11761413432,2022,322,0.0621118012422,0.965838509317,0.937888198758,4,15,0,0,20,1,13,1989.95,2.08776163248,1989.95,2.08776163248,953.15,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Olympus Preserve at Town Center,No,1.17234974621,2021,370,0.0675675675676,0.894594594595,0.932432432432,1,10,0,0,25,0,44,1833.68,1.8773086531,1833.68,1.8773086531,976.76,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Steele Creek,No,1.56208299546,2018,300,0.0666666666667,0.973333333333,0.933333333333,4,14,757.4,0.0344074276352,20,1,13,1831,1.81448815776,1768,1.75205628778,1009.1,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Haven 8181,No,1.27124614934,2023,342,0.111111111111,0.926900584795,0.888888888889,7,24,1675.5,0.0767029027408,38,0,26,1820.42105263,1.94555068062,1680.78947368,1.79632129598,935.684210526,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,The Maggie Flats,No,2.69927593233,2024,280,0.210714285714,0.810714285714,0.789285714286,6,24,3326,0.15340450682,59,0,56,1806.6779661,1.60862610165,1529.52542373,1.36185560787,1123.11864407,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Artea,No,6.61523093096,2025,340,0.373529411765,0.620588235294,0.626470588235,10,28,3986.11023622,0.190583101442,127,0,133,1743.05511811,2.32656493042,1410.85826772,1.88316097028,749.196850394,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,RISE Baymeadows,Yes,0,2024,331,0.196374622356,0.752265861027,0.803625377644,23,70,3765.69230769,0.191807609503,65,3,87,1636.41538462,1.66071289169,1322.53846154,1.34217552187,985.369230769,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,WaterWalk Jacksonville - All bills paid - ...,No,1.8216603595,2023,50,0.06,0.96,0.94,2,6,0,0,3,0,2,1550,2.58333333333,1550,2.58333333333,600,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Elevate Baymeadows,No,1.4314651076,2025,192,0.0364583333333,0.963541666667,0.963541666667,0,0,1150,0.0832298136646,7,0,7,1150,1.84,1054.28571429,1.68685714286,625,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,AVIA Lofts on Liberty Ridge,No,1.57964490112,2024,112,0.160714285714,0.866071428571,0.839285714286,4,7,1038.22222222,0.0766541945648,18,0,16,1128.44444444,1.88074074074,1041.94444444,1.73657407407,600,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
2026-04-30,2026-04-01,BAY,Property Rent Comparison,No,,,,,,,,,,,,,,,,,,,2026_04_30_15_23_RISE_Baymeadows_Market.xlsx
