Report_Month,Community_ID,Community_Name,Region,Market,Asset_Type,PMS_Property_Code,Total_Units,Occupied_Units,Leased_Units,Preleased_Units,Vacant_Units,Physical_Occupancy_%,Leased_%,Economic_Occupancy_%,Avg_Market_Rent,Actual_Rent,Concessions_$,Delinquency_$,Gross_Potential_Rent_$,Collected_Rent_$,Other_Income_$,Operating_Expenses_$,NOI_$,Traffic,Leads,Tours,Applications,Approved_Applications,Move_Ins,Move_Outs,Renewals_Sent,Renewals_Signed,Reviews_Count,Avg_Review_Rating,Open_Work_Orders,Completed_Work_Orders,Period_Status,Source_System,Source_File_Name,Agent_Notes,Last_Updated,Row_Status,Error_Detail
2026-04-01,BAR,Bartram,Florida,Jacksonville,Multifamily,BARTRAM,297,268,285,17,29,0.902356902357,0.959595959596,,1695.41414141,1667.63992537,39747.0720421,,503538,,,,,56,199,56,24,13,8,9,,14,,,,,Actual,Excel Export,02 - RISE - Box Score-11.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions.,2026-04-30,OK,
2026-04-01,BAY,Baymeadows,Florida,Jacksonville,Lease-Up,BAYMEADOWS,331,217,259,42,114,0.655589123867,0.78247734139,,1775.18731118,1721.23041475,58922.9696978,,587587,,,,,84,254,84,57,36,23,6,,10,,,,,Actual,Excel Export; Market Survey,02 - RISE - Box Score-11.xlsx; 2026_04_30_15_23_RISE_Baymeadows_Market.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions. | Market Survey is a pricing/comp snapshot and only fills blanks in monthly upload.,2026-04-30,OK,
2026-04-01,CIT,Citrus Ridge,Florida,Central Florida,Lease-Up,CITRIDGE,222,169,182,13,53,0.761261261261,0.81981981982,,2513.74774775,2166.12426035,23562.9765568,,558052,,,,,59,171,59,12,13,10,3,,4,,,,,Actual,Excel Export; Market Survey,02 - RISE - Box Score-11.xlsx; 2026_04_22_15_29_RISE_Citrus_Ridge_Market.xlsx; 2026_04_28_20_49_RISE_Citrus_Ridge_Market.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions. | Market Survey is a pricing/comp snapshot and only fills blanks in monthly upload.,2026-04-30,OK,
2026-04-01,DOR,Doro,Florida,Jacksonville,Multifamily,DORO,247,27,38,11,220,0.109311740891,0.153846153846,,2030.57489879,1885.11111111,2345.35213675,,501552,,,,,32,136,32,19,14,13,0,,0,,,,,Actual,Excel Export,02 - RISE - Box Score-11.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions.,2026-04-30,OK,
2026-04-01,FLO,Florence Villa,Florida,Central Florida,Lease-Up,FLOVILLA,224,186,205,19,38,0.830357142857,0.915178571429,,2048.91071429,2345.79032258,36199.1152198,,458956,,,,,58,131,58,18,13,7,20,,0,,,,,Actual,Excel Export; Market Survey,02 - RISE - Box Score-11.xlsx; 2026_04_28_20_43_RISE_Florence_Villa_Market.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions. | Market Survey is a pricing/comp snapshot and only fills blanks in monthly upload.,2026-04-30,OK,
2026-04-01,GKP,Glen Kernan Park,Florida,Jacksonville,Lease-Up,GKP,308,39,55,16,269,0.126623376623,0.178571428571,,2998.50649351,3155.02564103,3673.38015385,,923540,,,,,37,56,37,12,9,13,5,,0,,,,,Actual,Excel Export; Market Survey,02 - RISE - Box Score-11.xlsx; 2026_04_28_20_40_RISE_at_Glen_Kernan_Park_Market.xlsx; 2026_04_29_21_07_RISE_at_Glen_Kernan_Park_Market.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions. | Market Survey is a pricing/comp snapshot and only fills blanks in monthly upload.,2026-04-30,OK,
2026-04-01,NOC,Nocatee,Florida,Jacksonville,Lease-Up,NOCATEE,178,112,123,11,66,0.629213483146,0.691011235955,,2297.21348315,2230.71428571,16774.7459841,,408904,,,,,22,61,22,6,4,6,2,,2,,,,,Actual,Excel Export,02 - RISE - Box Score-11.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions.,2026-04-30,OK,
2026-04-01,SER,Sereno,Florida,Jacksonville,Multifamily,SERENO,320,278,288,10,42,0.86875,0.9,,1992.909375,1927.82733813,52585.6962813,,637731,,,,,71,217,71,35,25,21,8,,16,,,,,Actual,Excel Export; Market Survey,02 - RISE - Box Score-11.xlsx; 2026_04_29_11_40_RISE_Sereno_Market.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions. | Market Survey is a pricing/comp snapshot and only fills blanks in monthly upload.,2026-04-30,OK,
2026-04-01,STA,St. Augustine,Florida,St. Augustine,Lease-Up,STAUGUSTINE,272,2,4,2,270,0.00735294117647,0.0147058823529,,2856.39705882,2500,0,,776940,,,,,4,39,4,3,0,2,0,,0,,,,,Actual,Excel Export,02 - RISE - Box Score-11.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions.,2026-04-30,REVIEW,Community is not in the current Atlas Community_Master.
2026-04-01,VIE,Viera,Florida,Space Coast,Lease-Up,VIERA,166,88,99,11,78,0.530120481928,0.596385542169,,2383.19277108,2448.23863636,790.14652015,,395610,,,,,30,64,30,8,8,4,4,,8,,,,,Actual,Excel Export,02 - RISE - Box Score-11.xlsx,Box Score supplies operating metrics. | Actual_Rent uses Avg. Scheduled Rent unless Atlas defines actual rent differently. | Renewals_Signed uses Renewal Leases Approved from Property Pulse. | Traffic defaults to First Visits/Tours from Lead Activity. | Applications = Completed + Partially Completed from Lead Conversions.,2026-04-30,OK,
