Table,CSV_File,Rows
boxscore_application_monthly,boxscore_application_monthly.csv,77
boxscore_floor_plan_monthly,boxscore_floor_plan_monthly.csv,101
boxscore_lead_monthly,boxscore_lead_monthly.csv,106
boxscore_make_ready_monthly,boxscore_make_ready_monthly.csv,20
boxscore_pulse_monthly,boxscore_pulse_monthly.csv,101
exceptions,exceptions.csv,1
market_floor_plan_snapshot,market_floor_plan_snapshot.csv,587
market_property_snapshot,market_property_snapshot.csv,1530
market_unit_snapshot,market_unit_snapshot.csv,26640
monthly_upload,monthly_upload.csv,10
renewal_tracker_monthly,renewal_tracker_monthly.csv,0
rent_roll_unit_monthly,rent_roll_unit_monthly.csv,0
source_file_log,source_file_log.csv,8
trending_occupancy_monthly,trending_occupancy_monthly.csv,0
