Report_Month,Community_ID,Unit_Type,Units,Move_Ins,MTM,MTM_Conversions,Renewal_Leases_Approved,Transfers,Notices,Move_Outs,Renewal_Transfers,Skips,Evictions,Leased,Source_File_Name,Source_Sheet
2026-04-01,GKP,A1C,30,2,0,0,0,0,0,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2E,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2G,38,2,0,0,0,2,1,1,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2H,20,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A3F,10,0,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A4C,8,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1A,61,1,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1K,10,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B3A,56,3,0,0,0,1,1,1,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2D,52,2,0,0,0,0,2,2,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2F,20,3,1,0,0,1,1,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,NOC,A1-A,9,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A2-B,41,1,0,0,0,0,3,2,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A3-B,30,0,0,0,2,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A4-A,9,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B1-C,43,2,0,0,0,0,0,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B2-A,18,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-F,10,1,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-G,5,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-J,9,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,C1-A,4,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,BAR,A1,83,0,0,0,4,0,6,4,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A2,19,1,0,0,0,0,0,1,0,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A3,4,0,0,0,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A4,33,0,0,0,2,0,-1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A5,8,1,0,0,0,0,1,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B1,27,3,0,0,1,0,-1,1,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B2,44,1,0,0,5,0,-1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B3,28,1,0,0,1,0,1,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B4,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B5,9,0,0,0,1,0,-1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B6,8,0,0,0,0,0,1,1,0,0,1,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B7,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B8,6,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,C1,16,1,0,0,0,0,2,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,S1,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,S2,4,0,0,0,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAY,A1,105,6,1,0,5,0,5,3,0,0,0,8,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A2,22,0,0,0,0,0,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A3,20,1,0,0,0,0,0,0,0,0,0,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A4,8,2,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1,33,3,0,0,1,0,0,0,0,0,0,7,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1.1,2,1,0,0,0,0,0,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2,38,3,0,0,2,0,2,2,0,1,0,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.1,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.2,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B3,8,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B4,58,2,0,0,2,0,1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C1,16,2,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C2,7,2,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C2.1,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,S1,6,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,CIT,B1,56,2,0,0,0,0,1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,C1,166,8,0,0,4,0,4,3,0,0,0,10,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,DOR,A1,16,2,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Doro
