Snapshot_Date,Report_Month,Subject_Community_ID,Source_Property_Name,Address,Floor_Plan,Unit_Number,Bed_Count,Bath_Count,Sq_Ft,Unit_Status,Date_First_Available,Leased_Date,Days_On_Market,Times_Listed,Asking_Rent,Asking_Rent_PSF,Effective_Rent,Effective_Rent_PSF,Concession_Pct,Concession_Details,Source_File_Name
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Birch,#144,1,1,680,Available,2026-04-28,,1,1,1942,2.85588235294,1644,2.41764705882,0.153450051493,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Birch,#174,1,1,680,Available,2026-04-28,,1,1,1862,2.73823529412,1576,2.31764705882,0.153598281418,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Birch,#242,1,1,680,Available,2026-04-28,,1,1,1937,2.84852941176,1640,2.41176470588,0.153329891585,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Birch,#271,1,1,680,Available,2026-04-28,,1,1,1887,2.775,1597,2.34852941176,0.15368309486,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Spruce,#106,2,2,982,Available,2026-04-28,,1,1,2159,2.19857433809,1828,1.86150712831,0.153311718388,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Spruce,#115,2,2,982,Available,2026-04-28,,1,1,2134,2.17311608961,1807,1.84012219959,0.153233364574,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Spruce,#131,2,2,982,Available,2026-04-28,,1,1,2144,2.183299389,1815,1.8482688391,0.153451492537,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Spruce,#191,2,2,982,Available,2026-04-28,,1,1,2169,2.20875763747,1836,1.86965376782,0.153526970954,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Spruce,#192,2,2,982,Available,2026-04-28,,1,1,2074,2.11201629328,1756,1.78818737271,0.153326904532,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Spruce,#211,2,2,982,Available,2026-04-28,,1,1,2104,2.14256619145,1781,1.81364562118,0.153517110266,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Sycamore,#258,1,1,798,Available,2026-04-28,,1,1,2108,2.64160401003,1785,2.23684210526,0.153225806452,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,1110 Evergreen Isles Dr,Sycamore,#299,1,1,798,Available,2026-04-28,,1,1,2088,2.61654135338,1768,2.21553884712,0.153256704981,Up to 8 weeks free,2026_04_29_11_40_RISE_Sereno_Market.xlsx
