Report_Month,Community_ID,Unit_Type,New_Leads,Email_Leads,Call_Leads,Online_Leads,Walk_In_Leads,Off_Site_Event_Leads,Chat_Leads,Text_Leads,Other_Leads,Emails,Calls,Chats,Texts,First_Visits_Tours,Source_File_Name,Source_Sheet
2026-04-01,GKP,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A1C,4,0,2,1,0,0,0,1,0,21,38,0,2,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2G,2,0,0,2,0,0,0,0,0,18,21,0,1,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2H,0,0,0,0,0,0,0,0,0,1,12,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A3F,1,0,0,1,0,0,0,0,0,8,4,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A4C,0,0,0,0,0,0,0,0,0,2,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1A,2,0,0,0,1,0,0,0,1,2,2,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B3A,2,0,0,1,1,0,0,0,0,9,10,0,1,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2F,1,0,1,0,0,0,0,0,0,14,16,0,6,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,Unknown,44,0,10,4,21,0,0,0,9,267,151,0,11,30,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,NOC,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A1-A,2,0,1,1,0,0,0,0,0,9,12,0,2,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A2-B,1,0,1,0,0,0,0,0,0,18,28,0,2,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A3-B,1,1,0,0,0,0,0,0,0,2,3,0,1,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A4-A,1,0,0,1,0,0,0,0,0,2,0,0,3,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B1-C,0,0,0,0,0,0,0,0,0,12,17,0,6,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B2-A,0,0,0,0,0,0,0,0,0,0,0,0,2,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-F,1,0,0,1,0,0,0,0,0,37,11,0,1,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-G,1,0,1,0,0,0,0,0,0,17,10,0,3,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-J,1,0,0,0,0,0,0,0,1,5,2,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,C1-A,2,0,0,2,0,0,0,0,0,14,8,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,Unknown,51,0,25,12,10,0,0,1,3,378,191,0,145,19,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,BAR,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A1,19,0,7,8,1,0,0,0,3,49,35,0,86,8,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A2,12,0,2,8,1,0,0,0,1,56,10,0,14,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A3,3,0,3,0,0,0,0,0,0,10,5,0,8,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A4,4,0,2,1,0,0,0,1,0,20,17,0,34,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A5,5,0,1,2,1,0,0,0,1,26,7,0,24,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B1,12,0,1,8,2,0,0,1,0,49,13,0,8,5,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B2,14,0,1,4,8,0,0,0,1,32,16,0,84,10,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B3,5,0,1,1,3,0,0,0,0,23,15,0,16,3,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B6,2,0,0,0,2,0,0,0,0,1,1,0,2,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B7,0,0,0,0,0,0,0,0,0,4,0,0,18,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,C1,8,0,1,4,3,0,0,0,0,42,11,0,18,3,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,S1,9,0,5,2,0,0,0,1,1,42,15,0,19,6,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,S2,2,0,0,2,0,0,0,0,0,7,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,Unknown,104,0,45,12,12,0,1,1,33,403,142,1,247,12,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAY,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A1,17,0,4,5,6,0,0,0,2,73,180,0,46,12,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A2,2,1,1,0,0,0,0,0,0,5,11,0,10,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A3,14,2,6,4,2,0,0,0,0,49,113,0,16,3,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A4,2,0,1,1,0,0,0,0,0,6,9,0,2,2,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1,22,2,3,8,7,0,1,0,1,112,150,0,44,14,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1.1,4,0,1,3,0,0,0,0,0,10,12,0,4,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2,6,0,2,2,2,0,0,0,0,56,50,0,49,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.1,3,0,0,3,0,0,0,0,0,16,13,0,4,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.2,2,1,1,0,0,0,0,0,0,15,20,0,5,2,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B3,1,0,0,1,0,0,0,0,0,4,0,0,3,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B4,25,1,4,11,8,0,0,0,1,83,113,0,64,9,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C1,3,0,2,1,0,0,0,0,0,11,20,0,31,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C2,2,0,1,0,0,0,0,0,1,11,9,0,3,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
