Report_Month,Community_ID,Unit_Type,Avg_SQFT,Avg_Market_Rent,Avg_Scheduled_Rent,Avg_Net_Effective_Rent,Units,Excluded,Rentable_Units,Occupied_Units,Vacant_Units,Available_Units,Occupied_No_Notice,Notice_Rented,Notice_Unrented,Vacant_Rented,Vacant_Unrented,Occupancy_Pct,Leased_Pct,Trend,Exposure_Pct,Total_Square_Feet,Total_Market_Rent,Total_Scheduled_Charges,Total_Budgeted_Rent,Total_Scheduled_Rent,Total_Scheduled_Other,Total_Effective_Rent,Total_Actual_Rent,Vacant_Rented_Ready_Units,Vacant_Rented_Not_Ready_Units,Vacant_Unrented_Ready_Units,Vacant_Unrented_Not_Ready_Units,Leased_Units,Exposure_Units,Not_Exposed_Leased_Units,Source_File_Name,Source_Sheet
2026-04-01,GKP,A1C,677,1975,1860,1690.66666667,30,0,30,2,28,24,2,0,0,4,24,0.0666666666667,0.2,0.2,0.8,20310,56030,3966,59250,3720,246,3386.26666667,3381.33333333,0,4,1,23,6,24,6,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2E,789,2250,0,0,3,0,3,0,3,3,0,0,0,0,3,0,0,0,1,2367,6900,0,6750,0,0,0,0,0,0,0,3,0,3,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2G,750,2195,2111.28571429,1984.95423498,38,0,38,7,31,29,7,0,0,2,29,0.184210526316,0.236842105263,0.236842105263,0.763157894737,28500,75784,15670,83410,14779,891,13972.1076923,13894.6796448,1,1,6,23,9,29,9,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2H,759,2250,0,0,20,0,20,0,20,20,0,0,0,0,20,0,0,0,1,15180,43900,0,45000,0,0,0,0,0,0,2,18,0,20,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A3F,813,2400,0,0,10,0,10,0,10,8,0,0,0,2,8,0,0.2,0.2,0.8,8130,23950,0,24000,0,0,0,0,0,2,2,6,2,8,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A4C,892,2600,2455.66666667,2111.35129915,8,0,8,3,5,4,3,0,0,1,4,0.375,0.5,0.5,0.5,7136,19967,7889,20800,7367,522,6531.1025641,6334.05389744,1,0,4,0,4,4,4,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1A,1048,3050,2445,2410.92809365,61,0,61,1,60,59,1,0,0,1,59,0.016393442623,0.0327868852459,0.0327868852459,0.967213114754,63928,149242,2445,186050,2445,0,2445,2410.92809365,1,0,8,51,2,59,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1K,1095,3200,0,0,10,0,10,0,10,10,0,0,0,0,10,0,0,0,1,10950,31500,0,32000,0,0,0,0,0,0,1,9,0,10,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B3A,1237,3450,3254.16666667,2914.79983232,56,0,56,6,50,48,6,0,0,2,48,0.107142857143,0.142857142857,0.142857142857,0.857142857143,69272,177025,20280,193200,19525,755,17927.0102564,17488.7989939,0,2,8,40,8,48,8,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2D,1474,3640,3640,3626.62858333,52,0,52,8,44,44,8,0,0,0,44,0.153846153846,0.153846153846,0.153846153846,0.846153846154,76648,199080,26469.8,189280,29120,-2650.2,29021.1326667,29013.0286667,0,0,42,2,8,44,8,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
