"Unit Type","Avg. SQFT","Avg. Market Rent (Budgeted)","Avg. Scheduled Rent","Avg. Net Effective Rent",Units,Excluded,"Rentable Units",Occupied,Vacant,Available,"Occupied No Notice","Notice Rented","Notice Unrented","Vacant Rented","Vacant Unrented",Occupied,Leased,Trend,Exposure
A1C,677.00,"1,975.00","1,860.00","1,681.12",30,0,30,4,26,25,4,0,0,1,25,0.1333,0.1667,0.1667,0.8333
A2E,789.00,"2,250.00",0.00,0.00,3,0,3,0,3,3,0,0,0,0,3,0.0000,0.0000,0.0000,1.0000
A2G,750.00,"2,195.00","2,094.25","1,953.33",38,0,38,8,30,28,8,0,0,2,28,0.2105,0.2632,0.2632,0.7368
A2H,759.00,"2,250.00",0.00,0.00,20,0,20,0,20,20,0,0,0,0,20,0.0000,0.0000,0.0000,1.0000
A3F,813.00,"2,400.00","2,395.00","2,100.27",10,0,10,2,8,8,2,0,0,0,8,0.2000,0.2000,0.2000,0.8000
A4C,892.00,"2,600.00","2,455.67","2,111.35",8,0,8,3,5,4,3,0,0,1,4,0.3750,0.5000,0.5000,0.5000
B1A,1048.00,"3,050.00","2,445.00","2,410.93",61,0,61,1,60,59,1,0,0,1,59,0.0164,0.0328,0.0328,0.9672
B1K,1095.00,"3,200.00",0.00,0.00,10,0,10,0,10,10,0,0,0,0,10,0.0000,0.0000,0.0000,1.0000
B3A,1237.00,"3,450.00","3,254.17","2,914.80",56,0,56,6,50,48,6,0,0,2,48,0.1071,0.1429,0.1429,0.8571
H2D,1474.00,"3,640.00","3,640.00","3,626.63",52,0,52,8,44,44,8,0,0,0,44,0.1538,0.1538,0.1538,0.8462
H2F,1694.00,"4,190.00","4,190.00","4,202.71",20,0,20,13,7,7,12,0,1,1,6,0.6500,0.7000,0.6500,0.3500
A1-A,683.00,"1,721.11","1,725.00","1,627.77",9,0,9,7,2,1,7,0,0,1,1,0.7778,0.8889,0.8889,0.1111
A2-B,752.00,"1,795.68","1,798.31","1,657.55",41,0,41,32,9,9,31,0,1,1,8,0.7805,0.8049,0.7805,0.2195
A3-B,821.00,"1,957.67","1,960.09","1,789.35",30,0,30,22,8,7,21,0,1,2,6,0.7333,0.8000,0.7667,0.2333
A4-A,903.00,"2,111.78","2,126.43","2,058.42",9,0,9,7,2,2,7,0,0,0,2,0.7778,0.7778,0.7778,0.2222
B1-C,1140.00,"2,533.33","2,507.35","2,360.23",43,0,43,20,23,20,18,0,2,5,18,0.4651,0.5814,0.5349,0.4651
B2-A,1245.00,"2,829.78","2,791.45","2,571.33",18,0,18,11,7,6,11,0,0,1,6,0.6111,0.6667,0.6667,0.3333
