"Unit Type","New Leads","Original Contact Method - Email","Original Contact Method - Call","Original Contact Method - Online","Original Contact Method - Walk In","Original Contact Method - Off Site Event","Original Contact Method - Chat","Original Contact Method - Text","Original Contact Method - Other","Activity - Emails","Activity - Calls","Activity - Chats","Activity - Texts","Tours - First Visits/Tours"
A1C,3,0,1,0,2,0,0,0,0,1,8,0,4,2
A2G,2,0,0,2,0,0,0,0,0,6,5,0,1,1
A4C,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B3A,1,0,0,0,1,0,0,0,0,3,11,0,1,1
H2F,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Unknown,28,0,3,0,16,0,0,0,9,35,108,0,7,18
A1-A,3,0,1,0,1,0,0,0,1,11,11,0,1,1
A2-B,1,0,1,0,0,0,0,0,0,5,5,0,0,1
A3-B,2,0,2,0,0,0,0,0,0,20,16,0,3,4
A4-A,1,0,0,0,1,0,0,0,0,4,3,0,0,1
B1-C,4,0,1,3,0,0,0,0,0,13,11,0,8,1
B2-A,1,0,0,0,1,0,0,0,0,6,6,0,5,1
B3-F,1,0,1,0,0,0,0,0,0,12,6,0,0,0
B3-G,0,0,0,0,0,0,0,0,0,2,2,0,0,0
B3-J,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C1-A,0,0,0,0,0,0,0,0,0,9,1,0,0,0
Unknown,27,0,12,6,2,0,0,0,7,121,107,0,44,7
A1,9,0,0,4,4,0,0,0,1,78,30,0,55,7
A2,4,0,0,3,1,0,0,0,0,28,8,0,8,0
A3,0,0,0,0,0,0,0,0,0,2,6,0,5,0
A4,3,0,0,3,0,0,0,0,0,20,7,0,11,0
A5,3,0,1,1,0,0,0,0,1,11,11,0,7,1
B1,8,0,2,4,2,0,0,0,0,43,22,0,28,2
B2,13,0,3,3,5,0,0,2,0,42,47,0,84,9
B3,6,0,0,2,2,0,0,0,2,24,15,0,29,4
B5,1,0,0,1,0,0,0,0,0,5,0,0,0,0
B6,2,0,0,0,0,0,0,1,1,14,25,0,3,1
B8,1,0,0,1,0,0,0,0,0,6,0,0,0,0
C1,4,0,2,0,2,0,0,0,0,28,46,0,25,2
S1,11,0,3,3,2,0,0,3,0,19,14,0,76,4
S2,1,0,0,1,0,0,0,0,0,11,2,0,1,0
Unknown,79,2,20,16,6,0,0,3,32,297,95,0,100,3
A1,11,0,2,2,2,0,0,0,5,57,104,0,55,5
A2,4,1,0,0,0,0,0,0,3,4,3,0,3,1
A3,12,0,3,5,2,0,0,0,2,40,69,0,66,3
B1,3,0,0,2,1,0,0,0,0,67,126,0,73,1
B2,6,0,0,0,1,0,0,0,5,43,36,0,41,2
B2.1,1,0,0,1,0,0,0,0,0,12,17,0,6,2
B2.2,0,0,0,0,0,0,0,0,0,6,27,0,25,0
B3,0,0,0,0,0,0,0,0,0,4,10,0,0,0
B4,9,2,2,3,1,0,0,0,1,119,147,0,80,5
C1,5,0,1,3,1,0,0,0,0,6,17,0,10,1
C2,4,1,1,2,0,0,0,0,0,20,30,0,13,1
S1,2,0,1,1,0,0,0,0,0,0,5,0,4,0
Unknown,88,17,26,5,19,0,1,0,20,418,214,0,355,25
B1,20,0,8,7,0,0,0,0,5,69,72,0,70,6
C1,21,0,4,10,4,0,0,0,3,134,92,0,113,13
Unknown,74,1,20,16,14,0,0,0,23,160,132,0,153,25
A1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
A1-L,1,0,0,1,0,0,0,0,0,2,1,0,1,0
A2,2,0,1,1,0,0,0,0,0,7,6,0,5,2
A2-L,0,0,0,0,0,0,0,0,0,3,0,0,1,0
A4-L,0,0,0,0,0,0,0,0,0,1,0,0,0,0
