"Unit Type","Application - Completed","Application - Partially Completed","Application - Completed (Cancelled)","Application - Denied","Application - Approved","Application - Approved (Cancelled)","Lease - Completed","Lease - Completed (Cancelled)","Lease - Approved"
A1C,2,0,0,0,2,3,2,0,2
A2G,1,0,0,0,1,0,2,0,2
B3A,1,0,0,0,0,1,0,0,0
H2F,0,0,0,0,0,1,0,0,0
A1-A,0,0,0,0,1,0,1,0,1
A3-B,3,0,0,1,1,1,1,0,2
B1-C,2,0,1,0,1,1,1,0,1
B2-A,1,0,0,0,2,0,2,0,2
B3-F,0,0,0,0,0,1,0,0,0
A1,3,0,0,0,3,1,3,0,3
A3,0,0,0,0,1,0,1,0,1
A4,1,0,0,0,2,0,2,0,2
A5,2,0,0,1,0,1,0,0,0
B1,2,0,0,0,1,0,1,0,1
B2,3,0,0,0,2,1,2,0,2
B3,3,0,0,0,1,0,2,0,2
B6,2,0,0,1,2,0,2,0,2
C1,1,0,0,0,2,0,1,0,1
S1,3,0,0,1,1,1,1,0,1
Unknown,1,0,1,0,0,0,0,0,0
A1,13,0,0,1,13,0,10,0,10
A2,4,0,0,0,4,0,4,0,4
A3,6,0,0,3,4,0,5,0,5
B1,3,0,0,1,8,0,8,0,8
B2,7,0,0,1,8,0,8,0,8
B2.1,1,0,0,0,1,0,1,0,2
B2.2,1,0,0,1,0,0,0,0,0
B3,0,0,0,0,1,0,1,0,1
B4,8,0,0,2,9,1,8,0,8
C1,2,0,0,0,2,0,1,0,2
C2,4,0,0,1,2,0,1,0,1
B1,5,0,0,2,2,0,2,0,2
C1,7,0,0,1,3,1,3,0,3
Unknown,1,0,0,0,0,1,0,0,0
A1-L,1,0,0,1,0,0,0,0,0
A2,1,0,0,0,0,0,1,0,1
B1,0,0,0,0,0,0,1,0,1
B3,0,0,0,0,0,0,1,0,0
B4,0,0,0,1,0,0,1,0,1
B4-L,1,0,0,0,1,0,1,0,0
S1,1,0,0,0,1,0,1,0,1
S2,1,0,0,0,1,0,1,0,1
S5,1,0,0,0,1,0,0,0,0
B1,0,0,0,0,0,0,1,0,1
C1,12,0,2,4,5,1,5,0,5
A1,0,0,0,0,3,1,4,0,4
A2,0,0,0,1,0,0,0,0,0
B1,3,0,1,2,0,0,0,0,0
B3,6,0,0,0,5,0,5,0,5
S1,1,0,0,0,2,0,2,0,2
Unknown,0,1,1,0,0,0,0,0,0
B1,2,0,0,0,2,0,2,0,2
C1,1,0,1,0,2,0,1,0,1
A1,2,0,1,0,1,0,1,0,1
A2,1,0,0,0,1,0,1,1,1
A3,2,0,0,0,2,0,2,0,2
B3,3,0,0,0,3,0,1,0,1
