"Unit Type",Units,Move-Ins,MTM,"MTM Conversions","Renewal Leases Approved",Transfers,Notices,Move-Outs,"Renewal Transfers",Skips,Evictions,Leased
A1C,30,2,0,0,0,0,0,0,0,0,0,2
A2E,3,0,0,0,0,0,0,0,0,0,0,0
A2G,38,1,0,0,0,0,0,0,0,0,0,2
A2H,20,0,0,0,0,0,0,0,0,0,0,0
A3F,10,2,0,0,0,0,0,0,0,0,0,0
A4C,8,0,0,0,0,0,0,0,0,0,0,0
B1A,61,0,0,0,0,0,0,0,0,0,0,0
B1K,10,0,0,0,0,0,0,0,0,0,0,0
B3A,56,0,0,0,0,0,0,0,0,0,0,0
H2D,52,0,0,0,0,0,0,0,0,0,0,0
H2F,20,2,0,0,0,0,0,1,0,0,0,0
A1-A,9,0,0,0,0,0,0,0,0,0,0,1
A2-B,41,0,0,0,1,0,0,0,0,0,0,0
A3-B,30,1,0,0,0,0,1,0,0,0,0,2
A4-A,9,0,0,0,0,0,0,0,0,0,0,0
B1-C,43,0,0,0,1,0,1,0,0,0,0,1
B2-A,18,1,0,0,0,0,0,0,0,0,0,2
B3-F,10,1,0,0,0,0,0,0,0,0,0,0
B3-G,5,0,0,0,0,0,0,0,0,0,0,0
B3-J,9,0,0,0,0,0,0,0,0,0,0,0
C1-A,4,0,0,0,0,0,0,0,0,0,0,0
A1,83,3,1,0,2,0,1,2,0,0,0,3
A2,19,0,0,0,1,0,2,0,0,0,0,0
A3,4,0,0,0,0,0,0,0,0,0,0,1
A4,33,0,0,0,1,0,0,0,0,0,0,2
A5,8,0,0,0,0,0,1,0,0,0,0,0
B1,27,0,0,0,2,0,0,0,0,0,0,1
B2,44,3,0,0,1,0,0,1,0,0,0,2
B3,28,1,0,0,1,0,0,2,0,0,0,2
B4,3,0,0,0,1,0,0,0,0,0,0,0
B5,9,0,0,0,0,0,0,0,0,0,0,0
B6,8,0,0,0,0,0,0,0,0,0,0,2
B7,2,0,0,0,0,0,0,0,0,0,0,0
B8,6,0,0,0,0,0,0,0,0,0,0,0
C1,16,0,0,0,1,0,0,0,0,0,0,1
S1,3,0,0,0,0,0,0,1,0,0,0,1
S2,4,1,0,0,0,0,0,0,0,0,0,0
A1,105,8,1,0,0,0,2,1,0,0,0,8
A2,22,1,0,0,0,0,0,0,0,0,0,4
A3,20,5,0,0,0,0,0,1,0,0,1,5
A4,8,1,0,0,0,0,0,0,0,0,0,0
B1,33,7,0,0,0,0,0,0,0,0,0,8
B1.1,2,0,0,0,0,0,0,0,0,0,0,0
B2,38,2,0,0,0,0,2,0,0,0,0,8
B2.1,3,0,0,0,0,0,0,0,0,0,0,2
B2.2,3,1,0,0,1,0,-1,0,0,0,0,0
B3,8,0,0,0,0,0,0,0,0,0,0,1
B4,58,7,0,0,0,0,0,3,0,0,1,8
C1,16,2,0,0,1,0,0,0,0,0,0,2
C2,7,0,0,0,0,0,0,0,0,0,0,1
C2.1,2,0,0,0,0,0,0,0,0,0,0,0
S1,6,0,0,0,0,0,1,0,0,0,0,0
B1,56,2,1,0,0,0,0,0,0,0,0,2
C1,166,3,0,0,3,0,1,2,0,0,0,4
A1,16,0,0,0,0,0,0,0,0,0,0,0
A1-L,38,0,0,0,0,0,0,0,0,0,0,0
A2,11,1,0,0,0,0,0,0,0,0,0,1
A2-L,28,0,0,0,0,0,0,0,0,0,0,0
A3,7,0,0,0,0,0,0,0,0,0,0,0
A3-L,2,0,0,0,0,0,0,0,0,0,0,0
A4,7,0,0,0,0,0,0,0,0,0,0,0
A4-L,2,0,0,0,0,0,0,0,0,0,0,0
A5,5,0,0,0,0,0,0,0,0,0,0,0
B1,7,0,0,0,0,0,0,0,0,0,0,1
B2,11,0,0,0,0,0,0,0,0,0,0,0
B2-L,9,0,0,0,0,0,0,0,0,0,0,0
B3,14,0,0,0,0,0,0,0,0,0,0,0
B4,9,2,0,0,0,0,0,0,0,0,0,1
B4-L,6,0,0,0,0,0,0,0,0,0,0,0
L1,9,0,0,0,0,0,0,0,0,0,0,0
L2,4,0,0,0,0,0,0,0,0,0,0,0
S1,40,0,0,0,0,0,0,0,0,0,0,1
S2,5,1,0,0,0,0,0,0,0,0,0,1
S3,9,0,0,0,0,0,0,0,0,0,0,0
S4,4,0,0,0,0,0,0,0,0,0,0,0
S5,4,0,0,0,0,0,0,0,0,0,0,0
B1,55,1,0,0,2,0,1,0,0,0,0,1
C1,169,6,0,0,0,0,1,-12,0,0,1,5
A1,79,1,0,0,2,0,18,2,0,0,1,3
A2,39,0,1,0,1,0,0,0,0,0,0,0
B1,63,1,0,1,1,0,1,1,0,0,0,0
B2,2,0,0,0,0,0,0,0,0,0,0,0
B3,78,3,0,0,0,0,0,2,0,0,0,5
C1,20,0,0,0,1,0,1,1,0,0,1,0
S1,18,1,0,0,1,0,0,0,0,0,0,2
TA1,3,0,0,0,0,0,1,0,0,0,0,0
TB1,4,0,0,0,0,0,0,0,0,0,0,0
TB2,10,0,0,0,0,0,0,0,0,0,0,0
TC1,4,0,0,0,0,0,0,0,0,0,0,0
